nCPUs,Execution Time
1.0,5.012364864349365
1.0,2.786337375640869
1.0,2.9139645099639893
1.0,2.7889244556427
1.0,2.779637098312378
1.0,2.5765185356140137
1.0,2.3240456581115723
1.0,2.377023935317993
1.0,2.4809670448303223
1.0,2.4012904167175293
0.75,2.4380974769592285
0.75,2.4550411701202393
0.75,2.3548386096954346
0.75,2.457813024520874
0.75,2.4444193840026855
0.75,2.377983331680298
0.75,2.4242448806762695
0.75,2.440251111984253
0.75,2.400434732437134
0.75,2.5164072513580322
0.5,7.436029434204102
0.5,4.0399627685546875
0.5,3.911134958267212
0.5,3.9113376140594482
0.5,4.045022249221802
0.5,3.9487481117248535
0.5,4.037749528884888
0.5,3.6397106647491455
0.5,3.6110522747039795
0.5,3.442488193511963
