cluster_config,cluster_config,cluster_config,function_resource_map,function_times,config_point_result,config_point_result,config_point_result,config_point_result,config_point_result
num_workers,cpu_per_worker,memory_per_worker,testFunc2,testFunc2,loss_used,loss_value,execution_time,cost_to_run,attempt_n
1,1,1Gi,1.0,1.1920928955078125e-06,latency_loss,0.021,0.021,1.1920928955078125e-06,0
1,1,1Gi,1.0,1.1920928955078125e-06,latency_loss,0.021,0.021,1.1920928955078125e-06,1
1,1,1Gi,1.0,7.152557373046875e-07,latency_loss,0.022,0.022,7.152557373046875e-07,2
1,1,1Gi,0.1,1.1920928955078125e-06,latency_loss,0.022,0.022,1.1920928955078125e-07,0
1,1,1Gi,0.1,1.6689300537109375e-06,latency_loss,0.022,0.022,1.6689300537109377e-07,1
1,1,1Gi,0.1,1.6689300537109375e-06,latency_loss,0.022,0.022,1.6689300537109377e-07,2
1,1,1Gi,0.7,1.430511474609375e-06,latency_loss,0.022,0.022,1.0013580322265623e-06,0
1,1,1Gi,0.7,1.430511474609375e-06,latency_loss,0.023,0.023,1.0013580322265623e-06,1
1,1,1Gi,0.7,1.4543533325195312e-05,latency_loss,0.023,0.023,1.0180473327636718e-05,2
1,1,1Gi,0.4,1.1920928955078125e-06,latency_loss,0.022,0.022,4.76837158203125e-07,0
1,1,1Gi,0.4,2.1457672119140625e-06,latency_loss,0.022,0.022,8.58306884765625e-07,1
1,1,1Gi,0.4,1.430511474609375e-06,latency_loss,0.021,0.021,5.722045898437501e-07,2
